Video ID,Título,Data de Publicação,Duração,Playlists
-JfD9CcGy6c,Ensinamentos Budistas para a Vida Cotidianna | Saúde: uma visão integrativa,2016-01-16T19:18:03Z,PT2H14M42S,
-K6MR_Ah1oc,teste,2020-09-19T15:10:07Z,PT4M38S,
-M3YR-I_Vyg,[Inglês] 2024 07 25 - Retiro de Inverno 2024 no CEBB Alto Paraíso #10,2024-07-21T12:22:47Z,PT2H31M1S,
-MnmfpER40U,"2023 11 21 Estudo de Aprofundamento | “Conselhos para uma Sociedade Equilibrada e Próspera"" #07",2023-11-21T11:54:44Z,PT2H9M41S,
-OiLp1LDyes,#03 | Experiência Sensorial Cotidiana na Perspectiva da Sabedoria Primordial | 19/01/21,2021-01-15T20:56:08Z,PT2H1M25S,
-PE8Gv7ZZ4I,"Paradoxos do caminho e materialismo espiritual | Retiro de Inverno 2017 #23 | (10º dia, manhã p. 1)",2017-07-31T16:49:10Z,PT2H12M40S,
-PIjAXGVrU4,Budismo e Alegria de Viver - Retiro com o Lama Padma Samten #3  (Sábado/ tarde),2019-05-25T20:10:46Z,PT2H20S,
-PNnwpwMXPE,#1666 Puja Diário | 01/11/24,2024-11-02T12:51:34Z,PT2H27M,
-QJjj8MZSJ0,#360 Prática Prajnaparamita e Buda da Medicina | 06/04/2021,2021-04-06T23:00:10Z,PT52M,
-QdBKgenGrw,"Turnê mundial da exposição ""Relíquias do Buda"" - Parte 1",2010-03-25T13:55:05Z,PT7M44S,
-QoMLZhBGNw,#10 | Perguntas & Respostas (#285 Prajnaparamita) | 22/01/2021,2021-01-22T23:31:50Z,PT1H20M56S,
-RVSnD9H_gg,2022 01 22 - A Meditação dos Jhanas MANHÃ,2021-12-13T21:43:13Z,PT3H13M35S,
-RcdYtv3HV4,#329 Prática Prajnaparamita e Buda da Medicina | 06/03/2021,2021-03-06T23:04:04Z,PT59M20S,
-SXcU8O3m-g,2023 01 28 - Retiro Bacopari 2023- 22 a 3101- #07,2023-01-16T12:14:16Z,PT1H50M41S,
-V-pjcw9Ebk,Puja e Palestra: O Caminho Espiritual em Meio à Vida - CEBB Criciúma | 17/08/2023,2023-08-18T13:02:21Z,PT2H19M20S,
-X02_b1pAyE,#814 Prática de Prajnaparamita e Buda da Medicina | 02/07/22,2022-07-02T23:37:30Z,PT1H47M36S,
-XvC9yIQD9g,#733 Prática de Prajnaparamita e Buda da Medicina | 12/04/22,2022-04-12T23:23:44Z,PT1H25M55S,
-_-uKi3YYIA,#25 | Experiência Sensorial Cotidiana na Perspectiva da Sabedoria Primordial | 30/01/21,2021-01-15T21:19:48Z,PT1H58M25S,
-aFAhEHQw14,2023 12 03 Retiro da Iluminação do Buda | #2.5,2023-12-02T13:49:44Z,PT2H51M40S,
-bB-rLeQzQ4,#1834 Puja Diário | 21/04/25,2025-04-22T11:18:11Z,PT1H4M,
-g7ffVF_lCw,Budismo e Responsabilidade Universal   Abertura,2010-10-16T02:54:50Z,PT5M36S,
-hvUgVHqKbM,#1786 Puja Diário | 04/03/25,2025-03-05T12:23:26Z,PT1H50M21S,
-hy9BP1FWc4,"2023 10 07 Minirretiro ""Como enfrentar com lucidez os desafios na vida cotidiana"" | RJ #02 (tarde)",2025-06-01T19:18:12Z,PT2H52M31S,
